route_id,route_short_name,route_long_name,unique_stops,mean_shape_km,stops_per_km
1 151 c a,151,Foxborough (Balgaddy Rd) - Docklands (East Rd),104,20.43,5.09
1 41D c a,41D,Swords Business Park - Lwr Abbey St,73,14.37,5.08
1 39A c a,39A,Ongar - UCD Belfield,142,28.4,5.0
1 6 c a,6,Howth Dart Stn - Lower Abbey Street,116,23.37,4.96
1 38B c a,38B,Damastown via Ballycoolin Ind Est - Burlington Rd,98,19.8,4.95
1 33 c a,33,Balbriggan - Lower Abbey St,194,39.47,4.92
1 44D a,44D,Dundrum - OCS,51,10.37,4.92
1 41B c a,41B,Rolestown - Lower Abbey Street,109,22.31,4.89
1 L14 a,L14,Southern Cross Road - Palermo,71,14.56,4.88
1 40D c a,40D,Tyrrelstown - Parnell Street,97,20.04,4.84
1 44B c a,44B,Glencullen - Dundrum Luas,55,11.61,4.74
1 L54 b,L54,River Forest - Red Cow Luas,78,16.63,4.69
1 L58 b,L58,River Forest - Castletown - Hazelhatch Stn,42,9.06,4.64
1 C6 c,C6,Maynooth - Celbridge - Ringsend Night Service,135,29.24,4.62
1 65 e,65,Poolbeg Street - Blessington/Ballymore,172,37.62,4.57
1 27X c a,27X,Clare Hall - UCD Belfield,88,19.25,4.57
1 40E c a,40E,Broombridge Luas - Tyrrelstown,63,13.83,4.56
1 C1 c,C1,Adamstown Stn - Sandymount,106,23.84,4.45
1 L59 b,L59,River Forest - Celbridge - Hazelhatch,56,13.05,4.29
1 L89 a,L89,Broombridge Luas - Toberburr,51,12.03,4.24
1 65A a,65A,Route 65A Tallaght Sq - Blessington,76,18.32,4.15
1 C2 c,C2,Adamstown Stn - Sandymount,102,24.77,4.12
1 24 a,24,Merrion Square - Dublin Airport,83,20.42,4.06
1 C5 d,C5,Maynooth - Ringsend Night Service,128,31.83,4.02
1 51D c a,51D,Aston Quay - Clondalkin,92,22.95,4.01
1 C4 c,C4,Maynooth - Ringsend,116,29.28,3.96
1 X32 c,X32,Kildare Innovation Campus - UCD Belfield,103,27.42,3.76
1 70 c a,70,Dunboyne - Burlington Rd,87,23.27,3.74
1 53 c a,53,Dublin Ferryport - Talbot St,40,10.84,3.69
1 X31 c,X31,River Forest - UCD Belfield,96,26.08,3.68
1 70D c a,70D,Dunboyne - DCU,76,21.34,3.56
1 X27 d,X27,Salesian College - Aghards Rd - UCD,117,33.23,3.52
1 X28 d,X28,Salesian College - Celbridge Main St - UCD,110,31.24,3.52
1 C3 c,C3,Maynooth - Ringsend,97,27.7,3.5
1 38D c a,38D,IBM Damastown via N3 - Burlington Rd,64,18.51,3.46
1 X30 d,X30,Dodsboro - UCD,94,27.66,3.4
1 P29 c,P29,Adamstown Stn - Ringsend,62,18.42,3.37
1 X25 c,X25,Maynooth - Easton Rd - UCD,109,32.55,3.35
1 52 b,52,Intel - Ringsend,77,23.45,3.28
1 16D c a,16D,Airport - Beaumont Village - Ballinteer not,71,22.32,3.18
1 142 e a,142,Portmarnock - UCD (Belfield),106,33.6,3.15
1 42D c a,42D,Portmarnock - DCU,63,22.01,2.86
1 33X c a,33X,Skerries - Custom House Quay / St Stephen Green,119,41.95,2.84
1 32X c a,32X,UCD Belfield - Malahide,86,30.94,2.78
1 41X c a,41X,Swords - UCD Belfield,94,34.41,2.73
1 7E a,7E,Mountjoy Square - Dalkey,80,30.52,2.62
1 118 c a,118,Kilternan - Eden Quay,44,16.8,2.62
1 39X c a,39X,Ongar - Burlington Road,55,21.94,2.51
1 77X c a,77X,Citywest - UCD Belfield,65,28.68,2.27
1 33E c a,33E,Lwr Abbey St - Portrane - Skerries,108,47.78,2.26
1 X1 a,X1,Kilcoole - Hawkins Street,73,40.87,1.79
1 69X c a,69X,Rathcoole - Hawkins St,34,20.26,1.68
1 X2 a,X2,Newcastle - Hawkins Street,76,46.36,1.64
1 33D c a,33D,Portrane - St Stephens Green,45,27.72,1.62
1 X26 c,X26,Maynooth - Louisa Bridge - Leeson Street Lower,51,34.11,1.5
1 99 a,99,Phoenix Park - Phoenix Park,9,6.74,1.34
