route_id,route_short_name,route_long_name,mean_speed_kmh,median_speed_kmh,mean_trip_minutes,mean_shape_km,trip_count
1 53 c a,53,Dublin Ferryport - Talbot St,23.47,25.21,30.45,10.89,103
1 C3 c,C3,Maynooth - Ringsend,23.62,22.85,71.97,27.7,315
1 33 c a,33,Balbriggan - Lower Abbey St,23.73,22.75,104.59,40.54,146
1 X2 a,X2,Newcastle - Hawkins Street,23.85,22.98,116.78,46.25,16
1 L89 a,L89,Broombridge Luas - Toberburr,24.13,23.39,30.32,12.03,134
1 33E c a,33E,Lwr Abbey St - Portrane - Skerries,24.19,24.19,118.5,47.78,2
1 C4 c,C4,Maynooth - Ringsend,24.3,23.69,73.77,29.3,315
1 52 b,52,Intel - Ringsend,24.78,24.12,57.85,23.51,144
1 6 c a,6,Howth Dart Stn - Lower Abbey Street,25.03,23.91,57.2,23.36,152
1 L59 b,L59,River Forest - Celbridge - Hazelhatch,25.19,24.76,31.9,13.06,266
1 41X c a,41X,Swords - UCD Belfield,25.48,21.05,92.68,38.25,20
1 40E c a,40E,Broombridge Luas - Tyrrelstown,26.35,26.76,31.57,13.68,233
1 33X c a,33X,Skerries - Custom House Quay / St Stephen Green,27.04,26.76,93.15,41.95,20
1 65 e,65,Poolbeg Street - Blessington/Ballymore,27.38,26.29,81.02,35.53,114
1 L58 b,L58,River Forest - Castletown - Hazelhatch Stn,27.63,28.23,20.1,9.06,148
1 44B c a,44B,Glencullen - Dundrum Luas,27.71,26.42,25.63,11.61,20
1 33D c a,33D,Portrane - St Stephens Green,29.69,28.23,57.17,28.09,6
1 C5 d,C5,Maynooth - Ringsend Night Service,32.86,33.67,58.61,31.83,40
1 C6 c,C6,Maynooth - Celbridge - Ringsend Night Service,33.52,33.36,52.94,29.24,40
1 65A a,65A,Route 65A Tallaght Sq - Blessington,41.44,39.57,26.83,18.43,6
